"structure","run","seed","weighted_diameter","hop_diameter","mst_length","weighted_stringy","hop_stringy","difference"
"Degree 1 vs 2",1,1050,2.67347714285126,403,3.10849066572609,0.860056352212589,0.807615230460922,0.0524411217516669
"Degree 1 vs 2",2,1051,2.70406047126326,411,3.09214387355465,0.874493743447567,0.823647294589178,0.0508464488583883
"Degree 1 vs 2",3,1052,2.73836703244195,403,3.15148223993803,0.868913997908425,0.807615230460922,0.0612987674475034
"Degree 1 vs 2",4,1053,2.7028437593127,402,3.15594470834192,0.856429376651765,0.80561122244489,0.0508181542068752
"Degree 1 vs 2",5,1054,2.67899834442852,409,3.0730501312843,0.87177176745532,0.819639278557114,0.052132488898206
"Degree 1 vs 2",6,1055,2.712243218364,411,3.10564144596038,0.87332786658032,0.823647294589178,0.0496805719911412
"Degree 1 vs 2",7,1056,2.72635856369249,404,3.20548470993908,0.850529267926005,0.809619238476954,0.0409100294490512
"Degree 1 vs 2",8,1057,2.67316568297809,408,3.08552722038217,0.86635621469157,0.817635270541082,0.0487209441504873
"Degree 1 vs 2",9,1058,2.683344853643,396,3.1424582335255,0.85389992618377,0.793587174348697,0.0603127518350727
"Degree 1 vs 2",10,1059,2.73417932747024,399,3.18120982510862,0.85947783320985,0.799599198396794,0.0598786348130561
"Degree 1 vs 2",11,1060,2.70827389416736,412,3.10426024611163,0.872437772432168,0.82565130260521,0.0467864698269574
"Degree 1 vs 2",12,1061,2.68762402153378,403,3.15321940295301,0.852342852836948,0.807615230460922,0.0447276223760259
"Degree 1 vs 2",13,1062,2.70059132915103,404,3.14052738890912,0.859916502778565,0.809619238476954,0.050297264301611
"Degree 1 vs 2",14,1063,2.71319707526941,406,3.15115656321806,0.861016271593505,0.813627254509018,0.0473890170844866
"Degree 1 vs 2",15,1064,2.65908297885407,389,3.189559464895,0.833683462597429,0.779559118236473,0.0541243443609565
"Degree 1 vs 2",16,1065,2.79087837933031,421,3.16816403052131,0.880913473053692,0.843687374749499,0.0372260983041928
"Degree 1 vs 2",17,1066,2.71162856159006,410,3.12625994653812,0.867371430386908,0.821643286573146,0.0457281438137616
"Degree 1 vs 2",18,1067,2.67351104135752,402,3.12076203043498,0.856685327264403,0.80561122244489,0.051074104819513
"Degree 1 vs 2",19,1068,2.72752091317831,413,3.09657785674162,0.880817805772319,0.827655310621243,0.0531624951510765
"Degree 1 vs 2",20,1069,2.74357495600958,410,3.14489295215229,0.87239057028378,0.821643286573146,0.0507472837106338
"Degree 1 vs 2",21,1070,2.66738156244068,403,3.08316303289567,0.86514450711207,0.807615230460922,0.0575292766511478
"Degree 1 vs 2",22,1071,2.71521214149507,411,3.12719238904597,0.86825874577017,0.823647294589178,0.0446114511809911
"Degree 1 vs 2",23,1072,2.70597352722513,410,3.11257351136449,0.86936855221096,0.821643286573146,0.0477252656378138
"Degree 1 vs 2",24,1073,2.7026254531103,413,3.1142941221506,0.867813169567936,0.827655310621243,0.0401578589466937
"Degree 1 vs 2",25,1074,2.72801637530753,411,3.1247522674867,0.873034449384281,0.823647294589178,0.0493871547951028
"Degree 1 vs 2",26,1075,2.70700942729021,405,3.1348353125043,0.86352524373208,0.811623246492986,0.0519019972390944
"Degree 1 vs 2",27,1076,2.71706701144853,408,3.11432383987724,0.872442029521125,0.817635270541082,0.0548067589800428
"Degree 1 vs 2",28,1077,2.64546439525611,395,3.13759457526989,0.843150487353374,0.791583166332665,0.051567321020709
"Degree 1 vs 2",29,1078,2.7570089426023,420,3.14218600187168,0.877417486094093,0.841683366733467,0.0357341193606263
"Degree 1 vs 2",30,1079,2.67788750564254,413,3.09948915288234,0.863977053493563,0.827655310621243,0.0363217428723206
"Degree 1 vs 2",31,1080,2.66439684345379,396,3.1249282096225,0.852626577228043,0.793587174348697,0.0590394028793458
"Degree 1 vs 2",32,1081,2.72084545799179,417,3.13660882381845,0.867448129754186,0.835671342685371,0.0317767870688151
"Degree 1 vs 2",33,1082,2.73356536708175,409,3.09335973393811,0.883688158571099,0.819639278557114,0.0640488800139843
"Degree 1 vs 2",34,1083,2.7101760199035,414,3.10233374251714,0.873592670820949,0.829659318637275,0.043933352183674
"Degree 1 vs 2",35,1084,2.71504569873673,409,3.13514794739528,0.866002416566154,0.819639278557114,0.0463631380090396
"Degree 1 vs 2",36,1085,2.66530303866075,403,3.07448829748913,0.866909475907729,0.807615230460922,0.0592942454468073
"Degree 1 vs 2",37,1086,2.69946314913482,405,3.1179502516378,0.865781340711528,0.811623246492986,0.0541580942185422
"Degree 1 vs 2",38,1087,2.70354434410746,414,3.07673239727015,0.878706366048018,0.829659318637275,0.0490470474107434
"Degree 1 vs 2",39,1088,2.70153280827235,393,3.15681986071695,0.855776676360241,0.787575150300601,0.0682015260596395
"Degree 1 vs 2",40,1089,2.69998321217907,417,3.05707091292217,0.883192863065854,0.835671342685371,0.0475215203804831
"Degree 1 vs 2",41,1090,2.71521566398606,408,3.12543495128323,0.86874809628377,0.817635270541082,0.0511128257426877
"Degree 1 vs 2",42,1091,2.64522244063191,399,3.13539141869963,0.843665778012809,0.799599198396794,0.044066579616015
"Degree 1 vs 2",43,1092,2.68377977532489,406,3.1043514073765,0.864521899469158,0.813627254509018,0.0508946449601403
"Degree 1 vs 2",44,1093,2.6733079630965,401,3.1081629279632,0.860092609382076,0.803607214428858,0.0564853949532178
"Degree 1 vs 2",45,1094,2.69417624954207,409,3.07264960081061,0.876825085695195,0.819639278557114,0.0571858071380812
"Degree 1 vs 2",46,1095,2.66782581651436,408,3.07351525818408,0.868004741284606,0.817635270541082,0.050369470743524
"Degree 1 vs 2",47,1096,2.68715106978538,407,3.13121645393378,0.858181192299718,0.81563126252505,0.0425499297746679
"Degree 1 vs 2",48,1097,2.68699933052442,405,3.09752075780241,0.86746773972574,0.811623246492986,0.0558444932327541
"Degree 1 vs 2",49,1098,2.68290071082809,401,3.1147531727903,0.861352589433163,0.803607214428858,0.0577453750043051
"Degree 1 vs 2",50,1099,2.68235064140132,404,3.13160818751424,0.856540946627961,0.809619238476954,0.0469217081510072
"Degree 1 vs 2",51,1100,2.6803745731109,412,3.07905071979024,0.870519785816812,0.82565130260521,0.0448684832116011
"Degree 1 vs 2",52,1101,2.74391598538681,410,3.12396980161819,0.87834267282785,0.821643286573146,0.0566993862547034
"Degree 1 vs 2",53,1102,2.69568963731432,405,3.15370120811619,0.854770144481932,0.811623246492986,0.043146897988946
"Degree 1 vs 2",54,1103,2.72364935216523,418,3.09986802852536,0.878633969930937,0.837675350701403,0.0409586192295345
"Degree 1 vs 2",55,1104,2.68640793912064,407,3.10013454585975,0.866545596451082,0.81563126252505,0.0509143339260316
"Degree 1 vs 2",56,1105,2.72353796969367,411,3.11172815822253,0.875249324879781,0.823647294589178,0.0516020302906027
"Degree 1 vs 2",57,1106,2.75174650685147,421,3.09600714197862,0.888804960925529,0.843687374749499,0.0451175861760299
"Degree 1 vs 2",58,1107,2.6591768295287,405,3.08964458324544,0.860674021843456,0.811623246492986,0.0490507753504696
"Degree 1 vs 2",59,1108,2.7265159960582,410,3.11305336905502,0.875833361278302,0.821643286573146,0.054190074705156
"Degree 1 vs 2",60,1109,2.69404223436245,413,3.04722005653634,0.884098353377427,0.827655310621243,0.0564430427561845
"Degree 1 vs 2",61,1110,2.72895886481323,411,3.1112674508785,0.877121272246359,0.823647294589178,0.0534739776571805
"Degree 1 vs 2",62,1111,2.72659364843054,414,3.09776979672398,0.880179557342844,0.829659318637275,0.0505202387055692
"Degree 1 vs 2",63,1112,2.69617574038595,415,3.07836611415036,0.875846354984356,0.831663326653307,0.0441830283310497
"Degree 1 vs 2",64,1113,2.71901732629834,416,3.08721238802818,0.880735428777866,0.833667334669339,0.0470680941085277
"Degree 1 vs 2",65,1114,2.67091984578616,404,3.10314338127037,0.8607142879401,0.809619238476954,0.0510950494631456
"Degree 1 vs 2",66,1115,2.73964769578004,419,3.08912265333252,0.886869186895033,0.839679358717435,0.0471898281775984
"Degree 1 vs 2",67,1116,2.70059345890055,420,3.04671631853939,0.886394785910105,0.841683366733467,0.0447114191766377
"Degree 1 vs 2",68,1117,2.68386806564673,412,3.05292992778174,0.879112239433817,0.82565130260521,0.0534609368286066
"Degree 1 vs 2",69,1118,2.73264619526936,404,3.16311010898216,0.86391118270261,0.809619238476954,0.0542919442256558
"Degree 1 vs 2",70,1119,2.69404144680337,422,3.08240103997705,0.874007441557127,0.845691382765531,0.0283160587915959
"Degree 1 vs 2",71,1120,2.73174901191672,414,3.12605483300113,0.87386471378499,0.829659318637275,0.0442053951477153
"Degree 1 vs 2",72,1121,2.70205880306261,411,3.12737187135651,0.864003039680273,0.823647294589178,0.0403557450910943
"Degree 1 vs 2",73,1122,2.72391782900004,409,3.12341099798884,0.872097149799999,0.819639278557114,0.0524578712428843
"Degree 1 vs 2",74,1123,2.72700497883711,409,3.12380843763902,0.872974458350008,0.819639278557114,0.0533351797928937
"Degree 1 vs 2",75,1124,2.68240642841049,416,3.08124812195027,0.870558397845827,0.833667334669339,0.0368910631764883
"Degree 1 vs 2",76,1125,2.73177471811408,406,3.13473016691035,0.871454502511956,0.813627254509018,0.0578272480029384
"Degree 1 vs 2",77,1126,2.72982137685814,407,3.11903724178291,0.875212818971573,0.81563126252505,0.0595815564465226
"Degree 1 vs 2",78,1127,2.73666106513805,416,3.14091155330668,0.87129516979138,0.833667334669339,0.037627835122041
"Degree 1 vs 2",79,1128,2.75433273126997,420,3.06627874386921,0.898265605100986,0.841683366733467,0.0565822383675191
"Degree 1 vs 2",80,1129,2.69109794498676,408,3.1009566807445,0.867828293667313,0.817635270541082,0.0501930231262309
"Degree 1 vs 2",81,1130,2.69408101448982,412,3.08043390215806,0.874578419813659,0.82565130260521,0.0489271172084487
"Degree 1 vs 2",82,1131,2.72374746259494,408,3.12320092433602,0.872101260399698,0.817635270541082,0.054465989858616
"Degree 1 vs 2",83,1132,2.73847243655513,416,3.12303540240398,0.876862437885645,0.833667334669339,0.0431951032163059
"Degree 1 vs 2",84,1133,2.73171255935132,410,3.16345989165446,0.863520529075733,0.821643286573146,0.0418772425025871
"Degree 1 vs 2",85,1134,2.68273590456192,402,3.11960168786592,0.859961037653223,0.80561122244489,0.0543498152083334
"Degree 1 vs 2",86,1135,2.71694906958087,416,3.08153982832592,0.881685527672337,0.833667334669339,0.0480181930029981
"Degree 1 vs 2",87,1136,2.71433844454819,411,3.12983447917564,0.867246642788316,0.823647294589178,0.0435993481991376
"Degree 1 vs 2",88,1137,2.67818424399878,403,3.15937812982863,0.847693480787643,0.807615230460922,0.0400782503267209
"Degree 1 vs 2",89,1138,2.65064968757802,397,3.08436920134878,0.859381453562336,0.79559118236473,0.0637902711976064
"Degree 1 vs 2",90,1139,2.66587742947111,402,3.07708992206472,0.866363186319339,0.80561122244489,0.0607519638744491
"Degree 1 vs 2",91,1140,2.7284367899871,418,3.06988269839914,0.888775584620842,0.837675350701403,0.0511002339194392
"Degree 1 vs 2",92,1141,2.71871839161326,412,3.14233456552446,0.865190620197217,0.82565130260521,0.0395393175920067
"Degree 1 vs 2",93,1142,2.71381278579448,403,3.17959565451728,0.853508773022425,0.807615230460922,0.0458935425615027
"Degree 1 vs 2",94,1143,2.71205879596378,409,3.11604279080175,0.870353515031791,0.819639278557114,0.0507142364746768
"Degree 1 vs 2",95,1144,2.65592818889584,404,3.08440916684332,0.861081667583683,0.809619238476954,0.0514624291067288
"Degree 1 vs 2",96,1145,2.71339529629941,407,3.11735312047144,0.870416405020251,0.81563126252505,0.0547851424952012
"Degree 1 vs 2",97,1146,2.69705575462627,398,3.19082011874541,0.845254716422785,0.797595190380762,0.047659526042024
"Degree 1 vs 2",98,1147,2.67415113353082,409,3.08065251432925,0.86804698715365,0.819639278557114,0.048407708596536
"Degree 1 vs 2",99,1148,2.68351395766118,411,3.07620502137506,0.872345613837418,0.823647294589178,0.0486983192482396
"Degree 1 vs 2",100,1149,2.69928170724209,417,3.06760183585389,0.879932224480081,0.835671342685371,0.0442608817947104
"Degree 2 vs 3",1,1050,2.51733097430639,347,2.89114416264087,0.870704064790381,0.695390781563126,0.175313283227255
"Degree 2 vs 3",2,1051,2.48662819193441,356,2.83589629298041,0.876840312563429,0.713426853707415,0.163413458856014
"Degree 2 vs 3",3,1052,2.45850803797582,331,2.90456761237581,0.846428235135787,0.663326653306613,0.183101581829174
"Degree 2 vs 3",4,1053,2.45139094975334,332,2.91712159976407,0.840345822385876,0.665330661322645,0.175015161063231
"Degree 2 vs 3",5,1054,2.4760947422624,340,2.85816040231053,0.866324626238868,0.681362725450902,0.184961900787966
"Degree 2 vs 3",6,1055,2.50340032766332,350,2.8637677155877,0.874163192090313,0.701402805611222,0.17276038647909
"Degree 2 vs 3",7,1056,2.56682497727377,354,2.96199330729254,0.866587028051057,0.709418837675351,0.157168190375707
"Degree 2 vs 3",8,1057,2.50165011075689,349,2.85611251276618,0.875893403910062,0.69939879759519,0.176494606314871
"Degree 2 vs 3",9,1058,2.53468868846273,344,2.9200964691627,0.86801539443302,0.68937875751503,0.178636636917989
"Degree 2 vs 3",10,1059,2.5123383660651,344,2.90504615940804,0.864818742355903,0.68937875751503,0.175439984840873
"Degree 2 vs 3",11,1060,2.49200520994667,344,2.86886921388549,0.868636742966609,0.68937875751503,0.179257985451579
"Degree 2 vs 3",12,1061,2.42133069035266,326,2.88119354173584,0.840391544434004,0.653306613226453,0.187084931207551
"Degree 2 vs 3",13,1062,2.5377209306594,349,2.91375139598071,0.870946277077717,0.69939879759519,0.171547479482527
"Degree 2 vs 3",14,1063,2.47414104506639,344,2.88026657984629,0.858997240872899,0.68937875751503,0.169618483357869
"Degree 2 vs 3",15,1064,2.50969455263979,338,2.93862978710894,0.854035633766872,0.677354709418838,0.176680924348035
"Degree 2 vs 3",16,1065,2.57447726413101,348,2.94584848470997,0.873934038866387,0.697394789579158,0.176539249287228
"Degree 2 vs 3",17,1066,2.4714016644226,335,2.88495896818808,0.856650542234499,0.671342685370741,0.185307856863758
"Degree 2 vs 3",18,1067,2.51155666417659,339,2.89083610671979,0.868799396250252,0.67935871743487,0.189440678815383
"Degree 2 vs 3",19,1068,2.51451068074468,344,2.88812259331507,0.87063848555627,0.68937875751503,0.181259728041239
"Degree 2 vs 3",20,1069,2.48494309490514,334,2.89074308073289,0.859620874462191,0.669338677354709,0.190282197107481
"Degree 2 vs 3",21,1070,2.45582005130125,338,2.8387425202576,0.865108418173269,0.677354709418838,0.187753708754431
"Degree 2 vs 3",22,1071,2.47703339419692,341,2.89210660013686,0.856480668478714,0.683366733466934,0.17311393501178
"Degree 2 vs 3",23,1072,2.50944827884164,344,2.89169210937422,0.867813094868076,0.68937875751503,0.178434337353045
"Degree 2 vs 3",24,1073,2.51159968441355,351,2.8667570622984,0.876111798046775,0.703406813627255,0.172704984419521
"Degree 2 vs 3",25,1074,2.4973899482697,344,2.87231530573977,0.869469289558549,0.68937875751503,0.180090532043518
"Degree 2 vs 3",26,1075,2.47889752964326,338,2.88005341105534,0.860712346558504,0.677354709418838,0.183357637139666
"Degree 2 vs 3",27,1076,2.49643688731895,352,2.87530400260709,0.86823406674751,0.705410821643287,0.162823245104223
"Degree 2 vs 3",28,1077,2.44010990137969,341,2.8702807784294,0.850129339163431,0.683366733466934,0.166762605696497
"Degree 2 vs 3",29,1078,2.4858167830314,346,2.88625188561016,0.861261207112521,0.693386773547094,0.167874433565427
