"n","simulation_run","seed","addario_hop_diameter","addario_num_vertices","addario_path_length"
3000,1,404,509,510,6.11967676931426
3000,2,405,401,402,4.71251215981305
3000,3,406,391,392,4.84893268801373
3000,4,407,383,384,4.68925445598494
3000,5,408,384,385,4.57861999225074
3000,6,409,413,414,5.12506048686941
3000,7,410,373,374,4.39848029899004
3000,8,411,460,461,5.56577121911607
3000,9,412,345,346,4.16744317246893
3000,10,413,392,393,4.76933115116482
3000,11,414,395,396,4.80540656945723
3000,12,415,450,451,5.45875854804483
3000,13,416,383,384,4.43830937344697
3000,14,417,298,299,3.64923529912289
3000,15,418,289,290,3.27016348862966
3000,16,419,321,322,3.82923084279381
3000,17,420,275,276,3.40408080593404
3000,18,421,382,383,4.56966737455582
3000,19,422,409,410,4.73103364053013
3000,20,423,377,378,4.38493553660612
3000,21,424,366,367,4.22512940117878
3000,22,425,376,377,4.54816854320906
3000,23,426,313,314,3.77996638656348
3000,24,427,392,393,4.59974998412469
3000,25,428,397,398,4.9649604709834
3000,26,429,491,492,5.7737005836667
3000,27,430,383,384,4.62675179905667
3000,28,431,434,435,5.24015970491002
3000,29,432,387,388,4.42994463379649
3000,30,433,326,327,3.94568121276133
3000,31,434,299,300,3.72178603801448
3000,32,435,311,312,3.79562333984866
3000,33,436,450,451,5.30988092997767
3000,34,437,390,391,4.6959456015473
3000,35,438,331,332,4.04414372247364
3000,36,439,526,527,6.23726286081647
3000,37,440,392,393,4.61319803711861
3000,38,441,329,330,4.01967085972391
3000,39,442,421,422,5.25699178044943
3000,40,443,357,358,4.31257198785743
3000,41,444,336,337,4.09680548688521
3000,42,445,358,359,4.34057459517066
3000,43,446,317,318,3.96413443562604
3000,44,447,373,374,4.4589021747259
3000,45,448,298,299,3.54452052119523
3000,46,449,440,441,5.07013239094673
3000,47,450,360,361,4.31302347061937
3000,48,451,427,428,5.19783610632215
3000,49,452,402,403,4.92068431353158
3000,50,453,420,421,5.04241286130452
3000,51,454,354,355,4.22477202618673
3000,52,455,429,430,5.11879179418322
3000,53,456,494,495,5.82118724967014
3000,54,457,321,322,3.74172153819506
