n,B,mean_length,median_length,sd_length,mean_diameter,median_diameter,sd_diameter,mean_ratio,median_ratio,sd_ratio,q05_ratio,q95_ratio,mean_length_sqrtn,median_length_sqrtn,mean_diameter_sqrtn,median_diameter_sqrtn,mean_penrose_lower_ratio
50,1000,4.264620389022582,4.26705715564586,0.2841788165800445,1.9370201914706504,1.915811811551035,0.2689066061054468,0.4545428180106392,0.44983323222308846,0.05763753485765054,0.3688520126064556,0.559482199970381,0.6031083992528561,0.6034530100935538,0.2739360225368323,0.2709367046850042,0.03955766932177954
75,1000,4.994727536383836,4.993122414866685,0.30807998042944373,1.9547318666075573,1.93436755719921,0.24701506943611612,0.3916704720152889,0.3884410325165505,0.04564984315065307,0.3255658761941873,0.46767109316316097,0.5767414575320088,0.576556114064007,0.22571299387588256,0.22336152597212852,0.027704754869993978
100,1000,5.603741804718946,5.609125288972455,0.34495672199080635,1.9518400583833095,1.923436265142985,0.24053407057470585,0.3486370209511662,0.3443921386845755,0.03984736400152931,0.289945790096276,0.41607370019541223,0.5603741804718947,0.5609125288972454,0.19518400583833095,0.19234362651429848,0.021459660262893473
125,1000,6.152259581263248,6.156992674752464,0.36894906005132316,1.9743462794280584,1.955699575413405,0.24719960921267178,0.32122654973516834,0.316531740557172,0.03794972429240034,0.2680724646931149,0.3924599121215164,0.5502748255571606,0.5506981663085906,0.17659089967699731,0.17492308776767398,0.017578739408369057
150,1000,6.604328344680143,6.612209682409185,0.3730045113995663,1.9885818195820355,1.9668125211935599,0.24342124581678964,0.30128621067586786,0.29755861352102697,0.034382767709329014,0.2520820678924863,0.36350744834455234,0.5392411512755405,0.5398846598064304,0.16236702565837682,0.16058956988803824,0.014922965588643351
175,1000,7.04687558291398,7.039543481042475,0.3733933952778825,1.987290764656079,1.9692603970889349,0.2243651649402819,0.2822106937599803,0.2786215506007505,0.02996998128775728,0.23858035274959746,0.3356973992997025,0.5326937232115346,0.532139468407552,0.15022506131586782,0.14886209364073216,0.012986380273883508
200,2000,7.457490729836871,7.466651930887605,0.40004642359237497,1.9991816408885026,1.9801150646563301,0.2316027539476479,0.26821319978570113,0.265170222887798,0.02881483314005082,0.22615995284624982,0.32009799871919603,0.5273242265703467,0.5279720213090254,0.14136348950959093,0.14001527897481297,0.011509037065006824
250,1000,8.170293596752687,8.187994292252554,0.4430010825056589,2.005704116595966,1.995253696847775,0.2266389339155222,0.2456492429588928,0.242786057983419,0.025955215358932703,0.20745578324198197,0.28984068489802534,0.5167347383605556,0.5178542286395291,0.12685186641638355,0.12619092383820182,0.009399115633175066
300,1000,8.843981722817864,8.845031124037149,0.44805056235961127,2.0338901533606473,2.00949436684552,0.2267201585722557,0.2301165305913592,0.2271343380035855,0.0242313420153072,0.19428364720038896,0.27387030228773446,0.5106075228377023,0.5106681100453466,0.1174267027544899,0.11601821136332974,0.00796086432678722
350,1000,9.463190626069325,9.48646755223676,0.45250102837516365,2.031779871092521,2.011677953999385,0.20609468217721089,0.21482758998504606,0.212944899992433,0.020555543702181545,0.18489281175924543,0.25219280867602584,0.50582881583546,0.5070730198745426,0.10860320232817053,0.10752870966274411,0.006915190704932095
400,1000,9.98951608473144,10.0116643363373,0.48576041987950774,2.049668503220427,2.0306519371291403,0.2206273964487814,0.2053427875479508,0.2025184121422265,0.021276547739407382,0.17409227541272085,0.24186826392037308,0.499475804236572,0.5005832168168649,0.10248342516102137,0.101532596856457,0.006119367076702041
450,1000,10.490576281169513,10.51016033524505,0.49934070269310477,2.049139695657902,2.02279548213057,0.21443546677434872,0.19537031269737357,0.1937520758361035,0.018598384430921783,0.16915194193791275,0.22777479162104636,0.49453050846464774,0.49545370962731017,0.0965973716265494,0.09535549349120252,0.005492642703244318
500,1000,10.973377523892024,10.96490322282995,0.5354359273003985,2.052879627537469,2.029598408972765,0.22159687402481024,0.1871141574490651,0.1847132375052605,0.01830548356142439,0.16077215011508736,0.22052841129732384,0.49074436172381775,0.49036537945908587,0.09180756793596459,0.09076640018977042,0.004985823141035867
550,1000,11.463852035147033,11.48978798959315,0.5407569672389059,2.0559116730105385,2.04333253199276,0.20663234449707527,0.17945546088316144,0.17774372322729548,0.017190524093757802,0.1540885526390994,0.20917403889267125,0.48882029321761394,0.48992620603106973,0.08766436828994166,0.08712799191471593,0.004567191038002277
600,1000,11.850883112915344,11.8535759858861,0.5765654738194823,2.0603728683905147,2.03695246774616,0.2120838996856568,0.17395327717873116,0.171778213637452,0.016748884982667123,0.149217699133332,0.20428868565265418,0.4838102771334753,0.48392021321215,0.08411437012385534,0.08315823627135169,0.004215358708611531
650,1000,12.311854286475539,12.3376388831929,0.57200489809895,2.0774341617464516,2.0558949969310403,0.211788704908213,0.16881712349887157,0.1670676912720575,0.016160129760676094,0.14587855760197666,0.19816843538720594,0.4829106558096134,0.48392201090047454,0.08148367176114943,0.08063883620960885,0.003915368705692229
700,1000,12.687259589925644,12.71987081256005,0.5870089543603881,2.079375183958597,2.06348579768424,0.2037807453270794,0.16401831186138685,0.162606862008673,0.015552843586136882,0.14240333065632385,0.1921425912008695,0.479533338483751,0.480765926841471,0.0785929945593376,0.07799243220837487,0.0036564397580392616
